ID,personal_income,family_income,unnecessary_expenses,work_experience,entertainment_expenses,abode,personal_income_score,family_income_score,english,computer_skills,father_education,religious_believes,sport,reading_hours,family,friends,socialmedia,volunteer_work,ngo,gender,economical,cultural,social,sociocultural,overall
1,0.0,30.0,3,1,2,3,1,2,3,2,3,2,3,2,3,3,2,3,2,1,2.0,2.5,2.3333333333333335,2.416666666666667,2.277777777777778
2,0.0,60.0,2,1,2,2,1,3,3,1,2,3,2,1,2,3,2,4,1,1,1.8333333333333333,2.0,2.1666666666666665,2.083333333333333,2.0
3,0.0,15.0,2,3,1,4,1,1,2,1,1,3,2,1,3,4,4,2,0,1,2.0,1.6666666666666667,2.3333333333333335,2.0,2.0
4,0.0,17.5,4,1,1,3,1,1,3,3,1,2,1,4,2,3,2,2,1,1,1.8333333333333333,2.3333333333333335,1.8333333333333333,2.0833333333333335,2.0
5,0.0,14.0,3,1,1,3,1,1,3,1,3,3,2,1,3,4,2,3,1,1,1.6666666666666667,2.1666666666666665,2.3333333333333335,2.25,2.0555555555555554
6,0.0,12.0,4,1,1,3,1,1,4,1,3,3,2,3,1,2,4,2,0,1,1.8333333333333333,2.6666666666666665,1.6666666666666667,2.1666666666666665,2.055555555555556
7,0.0,40.0,2,1,2,2,1,2,5,2,3,5,2,2,3,4,2,3,0,1,1.6666666666666667,3.1666666666666665,2.1666666666666665,2.6666666666666665,2.3333333333333335
8,0.0,25.0,1,3,2,3,1,1,5,1,2,1,4,2,3,4,2,4,0,2,1.8333333333333333,2.5,2.5,2.5,2.2777777777777777
9,0.0,35.0,3,1,3,3,1,2,2,1,5,3,3,1,3,3,2,3,0,1,2.1666666666666665,2.5,2.0,2.25,2.222222222222222
10,7.5,40.0,3,2,2,3,2,2,2,2,1,3,2,2,2,3,3,4,0,1,2.3333333333333335,2.0,2.1666666666666665,2.083333333333333,2.1666666666666665
11,0.0,18.0,4,1,1,3,1,1,3,1,2,3,2,2,3,3,2,3,1,1,1.8333333333333333,2.1666666666666665,2.1666666666666665,2.1666666666666665,2.0555555555555554
12,0.0,20.0,3,2,1,2,1,1,2,3,2,4,4,2,3,4,2,4,4,2,1.6666666666666667,2.8333333333333335,3.1666666666666665,3.0,2.5555555555555554
13,0.0,25.0,3,1,1,2,1,1,5,2,2,5,1,2,3,4,3,2,1,1,1.5,2.8333333333333335,2.3333333333333335,2.5833333333333335,2.2222222222222228
14,0.0,50.0,3,1,2,2,1,3,3,1,3,2,3,2,3,4,3,4,0,1,2.0,2.3333333333333335,2.5,2.416666666666667,2.277777777777778
15,0.0,40.0,3,2,1,1,1,2,3,2,2,4,3,4,2,3,2,4,0,2,1.6666666666666667,3.0,2.1666666666666665,2.583333333333333,2.277777777777778
16,0.0,14.0,4,1,1,3,1,1,2,1,2,5,3,2,3,3,3,4,0,1,1.8333333333333333,2.5,2.3333333333333335,2.416666666666667,2.222222222222222
17,0.0,70.0,4,2,3,3,1,4,4,3,4,3,3,2,3,4,3,4,4,1,2.8333333333333335,3.1666666666666665,3.1666666666666665,3.1666666666666665,3.0555555555555554
18,0.0,40.0,4,1,2,3,1,2,3,2,3,4,1,3,3,4,4,3,0,1,2.1666666666666665,2.6666666666666665,2.5,2.583333333333333,2.444444444444444
19,0.0,100.0,4,1,2,3,1,5,3,1,3,3,1,1,3,1,2,2,0,1,2.6666666666666665,2.0,1.5,1.75,2.0555555555555554
20,0.0,50.0,3,1,3,2,1,3,5,1,3,3,3,2,3,3,3,4,2,1,2.1666666666666665,2.8333333333333335,2.6666666666666665,2.75,2.5555555555555554
21,0.0,15.0,2,1,2,3,1,1,2,1,2,3,3,3,3,3,3,3,1,1,1.6666666666666667,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.111111111111111
22,0.0,35.0,3,1,2,3,1,2,3,3,5,3,2,2,1,1,2,2,0,2,2.0,3.0,1.3333333333333333,2.1666666666666665,2.111111111111111
23,0.0,35.0,1,2,2,3,1,2,2,3,2,3,4,1,2,3,2,1,0,2,1.8333333333333333,2.5,1.6666666666666667,2.0833333333333335,2.0
24,0.0,15.0,4,1,1,3,1,1,3,1,2,5,3,2,3,2,2,4,0,1,1.8333333333333333,2.6666666666666665,2.0,2.333333333333333,2.1666666666666665
25,0.0,10.0,1,1,1,3,1,1,4,1,2,4,1,2,2,4,2,3,1,1,1.3333333333333333,2.3333333333333335,2.1666666666666665,2.25,1.9444444444444446
26,50.0,100.0,2,2,4,3,3,5,4,3,4,3,4,3,3,3,2,4,1,2,3.1666666666666665,3.5,2.5,3.0,3.0555555555555554
27,0.0,40.0,2,1,2,3,1,2,4,2,2,3,1,4,3,4,4,3,3,1,1.8333333333333333,2.6666666666666665,3.0,2.833333333333333,2.5
28,0.0,50.0,4,2,1,3,1,3,2,1,3,5,3,1,1,1,2,1,0,1,2.3333333333333335,2.5,1.0,1.75,1.9444444444444446
29,5.0,100.0,1,1,3,3,1,5,4,2,4,4,4,1,1,3,3,2,0,1,2.3333333333333335,3.1666666666666665,1.6666666666666667,2.4166666666666665,2.388888888888889
30,0.0,60.0,2,1,1,3,1,3,3,2,4,5,1,2,3,4,2,4,4,1,1.8333333333333333,2.8333333333333335,3.0,2.916666666666667,2.555555555555556
31,0.0,35.0,4,2,1,3,1,2,2,1,3,3,3,1,1,1,3,2,0,1,2.1666666666666665,2.1666666666666665,1.3333333333333333,1.75,1.8888888888888886
